link,latitude,longitude,valor,iptu,condominio,area,quartos,banheiros,suites,vagas
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-58m2-venda-RS430000-id-2443775232/,-8.144381,-34.905904,R$ 430.000,,R$ 370,58,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-45m2-venda-RS285000-id-2446201342/,-8.098272,-34.884483,R$ 285.000,Não informado,Não informado,45,1,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-63m2-venda-RS290000-id-2446111993/,-8.124343,-34.907404,R$ 290.000,,R$ 540,63,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-32m2-venda-RS280000-id-93880633/,-8.119679,-34.895654,R$ 280.000,R$ 99,R$ 710,32,1,1,,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-185m2-venda-RS1600000-id-2445889856/,-8.116937,-34.89949,R$ 1.600.000,R$ 3.000,R$ 700,185,4,7,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS850000-id-2443179477/,-34.901409,-8.114722,R$ 850.000,,R$ 450,100,3,1,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-126m2-venda-RS400000-id-2430000186/,-8.124442,-34.899102,R$ 400.000,,R$ 1.050,126,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS460000-id-2444637514/,-34.906365,-8.141986,R$ 460.000,,R$ 730,100,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-83m2-venda-RS510000-id-1041699394/,-8.130087,-34.906507,R$ 510.000,R$ 140,R$ 600,83,2,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-150m2-venda-RS950000-id-2446826934/,-8.100434,-34.885911,R$ 950.000,R$ 456,R$ 1.100,150,4,1,4 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-85m2-venda-RS430000-id-94184031/,-8.128617,-34.903254,R$ 430.000,R$ 1.400,R$ 530,85,3,,,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-218m2-venda-RS2200000-id-2447212118/,-8.10576,-34.887712,R$ 2.200.000,,R$ 1.500,218,1,5,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-125m2-venda-RS355000-id-2446112178/,-8.13482,-34.90601,R$ 355.000,Não informado,Não informado,125,3,3,,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-235m2-venda-RS2888000-id-82164192/,-8.126543,-34.897662,R$ 2.888.000,Não informado,Não informado,235,4,6,4 suítes,4
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-168m2-venda-RS600000-id-2439901603/,-8.134478,-34.903404,R$ 600.000,,R$ 897,168,4,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-69m2-venda-RS320000-id-2445558992/,-8.109679,-34.892804,R$ 320.000,R$ 2.000,R$ 800,69,2,1,1 suíte,1
